tool,dataset,operation,time_ms,input_mb,output_mb,ratio
tdg,source_project,create,19,4.88,2.34,2.09
tar+zstd,source_project,create,28,4.88,2.29,2.14
tdg,source_project,extract,21,4.88,,,
tar+zstd,source_project,extract,14,4.88,,,
tdg,dedup_heavy,create,18,12.95,2.70,4.80
tar+zstd,dedup_heavy,create,26,12.95,11.07,1.17
tdg,dedup_heavy,extract,17,12.95,,,
tar+zstd,dedup_heavy,extract,20,12.95,,,
tdg,large_mixed,create,93,91.31,10.04,9.10
tar+zstd,large_mixed,create,62,91.31,15.02,6.08
tdg,large_mixed,extract,70,91.31,,,
tar+zstd,large_mixed,extract,89,91.31,,,
